"Meadowlands.Leftpalm" "Delmore.Leftpalm" "Slades.Leftpalm" "Reacher.Leftpalm" "Charmark.Leftpalm" "Cedarhurst.Leftpalm" "Postscript.Leftpalm" "Pinrock.Leftpalm" "Salti.Leftpalm" "Larcridge.Leftpalm" "Devenwood.Leftpalm" "Vinedale.Leftpalm" "Gibbon.Leftpalm" "Misty.Leftpalm" "Witch.Leftpalm" "Edenfield.Leftpalm" "Westbora.Leftpalm" "Pasho.Leftpalm" "Trafford.Leftpalm" "Northwind.Leftpalm" "Claudett.Leftpalm" "Bjorkland.Leftpalm" "January.Leftpalm" "Cornstalk.Leftpalm" "Willowbe.Leftpalm" "Elmira.Leftpalm" "Woodfin.Leftpalm" "Starratt.Leftpalm" "Overton.Leftpalm" "Patmos.Leftpalm" "Netta.Leftpalm" "Buckinghan.Leftpalm" "Innitou.Leftpalm" "Bulls.Leftpalm" "Foothill.Leftpalm" "Caravel.Leftpalm" "Bows.Leftpalm" "Hallets.Leftpalm" "Janis.Leftpalm" "Shadyside.Leftpalm" "Burne.Leftpalm" "Wilbraview.Leftpalm" "Watoguadoc.Leftpalm"
"s__rhizophila" 3.70043971814109 2.58496250072116 6.06608919045777 4 3.16992500144231 3.58496250072116 3.32192809488736 7.12928301694497 6.4757334309664 6.71424551766612 0 2 0 0 4.08746284125034 3.16992500144231 1 1.58496250072116 5.35755200461808 2 1.58496250072116 3.90689059560852 1.58496250072116 2.58496250072116 4 0 0 2 3.70043971814109 6.4262647547021 2.32192809488736 2.58496250072116 0 3.32192809488736 0 0 1.58496250072116 3.4594316186373 4.75488750216347 2.58496250072116 0 2.58496250072116 3.32192809488736
"s__rhizosphaerae" 0 2.8073549220576 0 0 0 7.43462822763672 3.90689059560852 0 0 0 0 1 0 0 1 2 1 0 2 0 0 2.8073549220576 1 2.8073549220576 3.16992500144231 0 1 0 0 0 0 0 0 1.58496250072116 0 1 2.8073549220576 1.58496250072116 3.4594316186373 1 1 1.58496250072116 0
"s__rhizovicinus" 0 0 0 0 0 1 0 0 1.58496250072116 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__rimae" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.58496250072116 0 0 0 0 0 0 0 0 3.90689059560852 0 0 0 0 0 0
"s__rosea" 0 0 0 0 0 0 0 0 0 0 0 0 0 3.70043971814109 0 1 0 0 0 0 0 1.58496250072116 1.58496250072116 0 0 0 2.58496250072116 0 3.32192809488736 0 0 0 0 0 0 0 0 0 0 0 0 0 2.8073549220576
"s__ruber" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__rugosa" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.32192809488736 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__ruminis" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__rumoiensis" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__saccharolyticum" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__salaria" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__salsilacus" 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__SCA1145" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3.4594316186373 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__SCA1170" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.58496250072116 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__schaedleri" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__schindleri" 6.16992500144231 6.96578428466209 6.93073733756289 6.71424551766612 6.3037807481771 5.83289001416474 7 7.59991284218713 6.83289001416474 6.7279204545632 6.24792751344359 6.62935662007961 7.54689445988764 7.38370429247405 7.57742882803575 6.76818432477693 5.97727992349992 6.76818432477693 5.90689059560852 7.02236781302845 5.24792751344359 7.4594316186373 7.14974711950468 7.56224242422107 5.75488750216347 6.22881869049588 6.82017896241519 5.8073549220576 6.88264304936184 7.23840473932508 6.55458885167764 5.12928301694497 7.03342300153745 6.6724253419715 6.98868468677217 7.65105169117893 6.59991284218713 7.03342300153745 7.56985560833095 6.70043971814109 7.29462074889163 5.78135971352466 4.39231742277876
"s__sciuri" 1.58496250072116 1 2.8073549220576 0 0 0 1 0 2 0 0 0 1 0 1 2 0 1.58496250072116 2 0 1 1 1.58496250072116 0 0 0 0 0 1 0 1 1 0 1.58496250072116 0 0 2.58496250072116 0 0 0 0 0 0
"s__segnis" 2.8073549220576 0 0 0 0 5.75488750216347 3.70043971814109 0 5.90689059560852 0 0 3.32192809488736 4.64385618977472 4.08746284125034 0 3.58496250072116 0 1 8.07146236255662 1 3.70043971814109 3.70043971814109 2.8073549220576 3.16992500144231 0 2.8073549220576 3.90689059560852 0 3 1.58496250072116 5.61470984411521 0 2.32192809488736 0 0 0 0 0 0 2.58496250072116 0 0 0
"s__selenatarsenatis" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__serinedens" 0 0 0 0 0 0 0 0 2.58496250072116 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__shigelloides" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
"s__simulans" 3.90689059560852 3.58496250072116 5.39231742277876 0 5.75488750216347 6.53915881110803 5.12928301694497 3.32192809488736 5.75488750216347 6.14974711950468 2.8073549220576 6.39231742277876 6.5077946401987 4.70043971814109 3.70043971814109 8.43045255166553 0 2 6.83289001416474 4.4594316186373 5.88264304936184 6.24792751344359 1.58496250072116 2.32192809488736 0 4.32192809488736 4.70043971814109 2 6.56985560833095 5.16992500144231 0 2.32192809488736 3.8073549220576 3.70043971814109 6.06608919045777 0 4 1 6.84549005094437 0 2.58496250072116 0 1.58496250072116
"s__socranskii" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 2.32192809488736 0 0 0 1.58496250072116 0 0 0 0 0 0 0 0 0 0 0
"s__somerae" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__stationis" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__stercorea" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 3.16992500144231 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__stercoris" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__stuartii" 0 0 0 0 0 2.58496250072116 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3.70043971814109 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__stutzeri" 1.58496250072116 2.8073549220576 5 4.39231742277876 2.32192809488736 1 0 3.32192809488736 0 0 3 3.90689059560852 0 4.32192809488736 4.64385618977472 4 2.8073549220576 2.32192809488736 5.85798099512757 0 0 4.52356195605701 2.8073549220576 4.39231742277876 2 2 1 2.58496250072116 4.39231742277876 3.32192809488736 2 3.4594316186373 4 3.58496250072116 3.8073549220576 3.90689059560852 0 2.58496250072116 4.64385618977472 3 1 0 0
"s__stygium" 0 2.58496250072116 0 0 0 2.58496250072116 0 0 0 1 0 0 0 2.8073549220576 0 0 0 0 1 3.16992500144231 0 3.4594316186373 3.70043971814109 0 0 2.32192809488736 0 2 0 2.32192809488736 3 0 0 2.58496250072116 3 0 0 2 3.32192809488736 0 0 0 0
"s__subflava" 3.4594316186373 5.28540221886225 4.90689059560852 5 2 6.8073549220576 5.90689059560852 6.71424551766612 8.60362634498619 1 3 5.55458885167764 1.58496250072116 6.53915881110803 3.4594316186373 6.70043971814109 0 8.43045255166553 9.10328780841202 5.4594316186373 2.58496250072116 6.88264304936184 5.35755200461808 3.58496250072116 3.70043971814109 0 3.4594316186373 6.18982455888002 6.98868468677217 1.58496250072116 3 2.58496250072116 6.02236781302845 2.8073549220576 2.58496250072116 8.68299458368168 2 0 4.75488750216347 5.32192809488736 2.58496250072116 2.32192809488736 4.39231742277876
"s__subterminale" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__subterranea" 0 1 0 3.32192809488736 2.8073549220576 3.90689059560852 3.58496250072116 3.4594316186373 4.08746284125034 0 0 0 1.58496250072116 0 0 1.58496250072116 0 3 0 3.4594316186373 0 3.4594316186373 0 0 3.16992500144231 0 3 0 0 0 0 0 0 0 0 0 0 0 3.4594316186373 4.58496250072116 0 0 0
"s__succinicans" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__succinus" 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__tannerae" 0 0 0 0 0 1.58496250072116 0 2.32192809488736 1 0 0 0 0 0 0 3.32192809488736 0 0 4.75488750216347 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
"s__Taxon" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__tenuis" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__thermodenitrificans" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__toletana" 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__torques" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
"s__transvaalensis" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__tropica" 0 0 0 0 2.8073549220576 0 0 0 4.90689059560852 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__umsongensis" 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 2.8073549220576 0 0 0 2.8073549220576 0 0 0 0 0 0
"s__uniformis" 3.16992500144231 1 0 1 0 3.8073549220576 0 1 5.04439411935845 0 0 3.58496250072116 4.52356195605701 1 3.70043971814109 1.58496250072116 0 0 1.58496250072116 0 0 0 2.8073549220576 0 1 0 1.58496250072116 0 0 0 0 0 0 0 2.8073549220576 5.08746284125034 1 4.16992500144231 0 2 0 1.58496250072116 0
"s__variabile" 1 0 1.58496250072116 0 1 0 0 0 0 1 0 0 0 0 0 1.58496250072116 0 0 0 1 2 0 0 0 0 1 0 0 0 0 1 0 0 1 1 0 1 0 0 0 0 0 0
"s__venetianus" 0 1 0 0 0 2.32192809488736 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 1 2.32192809488736 0 0 0 1 0 0
"s__veronii" 0 0 0 1 0 1.58496250072116 3.90689059560852 0 3.16992500144231 0 0 3.8073549220576 3.16992500144231 0 0 1.58496250072116 1 1 0 1 0 1.58496250072116 3 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 1 0 1 0
"s__viridans" 0 0 0 0 0 0 0 1 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__viridescens" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__viridiflava" 0 0 0 1 0 1 0 0 1.58496250072116 0 1 3.58496250072116 0 0 2.32192809488736 0 1 3 0 0 1 1 2 0 0 1 1.58496250072116 0 4.95419631038687 0 0 0 0 0 0 0 1 0 0 0 1 0 0
"s__wittichii" 0 0 0 0 2 2.8073549220576 0 0 4.08746284125034 2.58496250072116 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 2 0 1 0 0 2.32192809488736 0
"s__xenophagum" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__yabuuchiae" 0 0 2 0 0 0 1 0 1 1.58496250072116 0 0 4.4594316186373 0 0 1 0 1 3.16992500144231 0 0 3 0 0 0 0 2.58496250072116 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0
"s__yanoikuyae" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__zavarzinii" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__zeae" 4.58496250072116 1 0 0 0 0 0 0 0 0 0 3.16992500144231 0 0 2.32192809488736 1 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__zeaxanthinifaciens" 0 0 5 0 0 1.58496250072116 1 2 4.85798099512757 0 1.58496250072116 0 0 0 0 0 0 3 0 0 0 0 0 0 1.58496250072116 0 2.8073549220576 1.58496250072116 0 0 0 0 0 0 0 1.58496250072116 2.8073549220576 0 0 3.32192809488736 0 0 0
