"SRS024163.SRX019635" "SRS013502.SRX019635" "SRS024163.SRX019636" "SRS024400.SRX019636" "SRS023617.SRX019636" "SRS016455.SRX019681" "SRS020245.SRX019636" "SRS017776.SRX019639" "SRS024580.SRX019639" "SRS049286.SRX019681" "SRS018145.SRX019682" "SRS020425.SRX019682" "SRS045710.SRX019685" "SRS024466.SRX019684" "SRS018439.SRX019684" "SRS018262.SRX019687" "SRS017076.SRX019687" "SRS023557.SRX019686" "SRS016596.SRX019686" "SRS018501.SRX019687" "SRS024106.SRX019686" "SRS017349.SRX019687" "SRS017833.SRX019686" "SRS022105.SRX019690" "SRS016648.SRX019691" "SRS018325.SRX019691" "SRS013705.SRX019690" "SRS017008.SRX019691" "SRS023926.SRX019690" "SRS017947.SRX019690" "SRS013460.SRX019696" "SRS013650.SRX019690" "SRS024277.SRX019696" "SRS013460.SRX019692" "SRS024220.SRX019696" "SRS022621.SRX019696" "SRS014426.SRX020560" "SRS014861.SRX020558" "SRS051551.SRX020558" "SRS016269.SRX020535" "SRS055123.SRX020535" "SRS015966.SRX020535" "SRS019757.SRX020535" "SRS015669.SRX020573" "SRS015621.SRX020573" "SRS015514.SRX020573" "SRS016154.SRX020573" "SRS016225.SRX020522" "SRS019894.SRX020522" "SRS019247.SRX020522" "SRS018591.SRX020522" "SRS016117.SRX020522" "SRS015917.SRX020510" "SRS015821.SRX020562" "SRS019095.SRX020564" "SRS019111.SRX020564" "SRS011419.SRX020666" "SRS011657.SRX020666" "SRS011409.SRX020666" "SRS011419.SRX020669" "SRS011275.SRX020669" "SRS011456.SRX020669" "SRS011624.SRX020669" "SRS011161.SRX020669" "SRS014426.SRX020551" "SRS050362.SRX020551" "SRS014271.SRX020551" "SRS047219.SRX020551" "SRS014128.SRX020555" "SRS014560.SRX020555" "SRS045258.SRX020531" "SRS019661.SRX020576" "SRS055574.SRX020576" "SRS049389.SRX020576" "SRS057461.SRX020665" "SRS044092.SRX020665" "SRS045858.SRX020665" "SRS052245.SRX020514" "SRS051657.SRX020514" "SRS062544.SRX020528" "SRS065278.SRX020528" "SRS048396.SRX020514" "SRS043642.SRX020514" "SRS044314.SRX020533" "SRS063501.SRX020579" "SRS063850.SRX020579" "SRS063651.SRX020579" "SRS056834.SRX020518" "SRS042533.SRX020518" "SRS052787.SRX020558" "SRS011657.SRX020669" "SRS011409.SRX020669" "SRS018791.SRX020576" "SRS045931.SRX020542" "SRS045466.SRX020563" "SRS021922.SRX020679" "SRS021553.SRX020679" "SRS022936.SRX020679" "SRS023059.SRX020680" "SRS020188.SRX020680" "SRS022492.SRX020680" "SRS047650.SRX020681" "SRS047650.SRX020683" "SRS045211.SRX020684" "SRS057792.SRX020685" "SRS056223.SRX020685" "SRS043014.SRX020685" "SRS058824.SRX020685" "SRS046134.SRX020686" "SRS050075.SRX020686" "SRS046361.SRX020686" "SRS052157.SRX020686" "SRS065558.SRX020689" "SRS064540.SRX020689" "SRS062955.SRX020689" "SRS014907.SRX020555" "SRS047034.SRX020665" "SRS044879.SRX020514" "SRS045007.SRX020533" "SRS065164.SRX020528" "SRS063125.SRX020528" "SRS015021.SRX020535" "SRS044038.SRX021470" "SRS065017.SRX022222" "SRS063984.SRX022222" "SRS023314.SRX022223" "SRS023377.SRX022223" "SRS022810.SRX022223" "SRS022870.SRX022226" "SRS056576.SRX022227" "SRS021121.SRX022230" "SRS021077.SRX022230" "SRS021676.SRX022235" "SRS021802.SRX022235" "SRS042606.SRX022242" "SRS021187.SRX022239" "SRS020938.SRX022239" "SRS021736.SRX022231" "SRS022045.SRX022231" "X700014578.V35.241766" "X700015133.V35.241755" "X700014803.V35.241722" "X700015430.V35.241712" "X700015640.V35.241767" "X700014802.V35.241722" "X700016627.V35.241837" "X700033456.V35.241795" "SRS015917.SRX020520" "SRS019095.SRX020545" "SRS024040.SRX019681" "SRS011484.SRX020660" "SRS046027.SRX020518" "SRS013555.SRX020681" "SRS023983.SRX019681" "SRS022366.SRX022226" "SRS020767.SRX022235" "X700015721.V35.241804" "SRS022681.SRX022226" "SRS020710.SRX022239" "SRS021253.SRX022239" "SRS057009.SRX022222" "SRS050694.SRX022227" "SRS022237.SRX022231" "SRS016928.SRX019681" "SRS011275.SRX020666" "SRS014138.SRX020557" "SRS024694.SRX021470" "SRS052621.SRX022222" "SRS050206.SRX022227" "SRS020484.SRX022230" "SRS022171.SRX022231" "SRS013189.SRX019681" "SRS044226.SRX021470"
"s__kuhniae" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__lividum" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__longum" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__luteciae" 0 0 0 0 0 0 0 0 1 0 1.58496250072116 4.32192809488736 2.58496250072116 0 0 1 1.58496250072116 0 0 0 0 0 1 0 4.90689059560852 2.8073549220576 1 1.58496250072116 1 0 0 0 1.58496250072116 0 2.32192809488736 1.58496250072116 0 1 0 0 1 0 0 1 0 1 1 0 0 0 1 1 0 1 0 0 0 0 1 1.58496250072116 1 1.58496250072116 0 0 0 0 0 0 3.32192809488736 0 3 1.58496250072116 4 0 0 0 1 1.58496250072116 0 1 1 2.32192809488736 0 1 0 2 1 1 1 0 0 2.32192809488736 4 2 2 0 0 2.32192809488736 0 0 1 1 1 2.32192809488736 0 0 0 1 2 1 1 0 4.39231742277876 1.58496250072116 2 0 1 3.4594316186373 0 1 1 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 1.58496250072116 0 0 1 0 0 0 1 0 0 0 1 0 0 1 0 2.32192809488736 0 0 0 0 0 0 1
"s__luteus" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__marcescens" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__melaninogenica" 8.62935662007961 7.76155123244448 8.73470962022584 5 9.04984854945056 7.467605550083 8.81698362325538 4 5.90689059560852 4.95419631038687 5.58496250072116 8.36194377373524 7.38370429247405 7.24792751344359 7.10852445677817 7.21916852046216 7.83920378809694 7.33091687811462 8.11894107272351 9.58120058192496 8.2336196767597 8.48784003382305 8.63662462054365 7.12928301694497 10.0874628412503 8.92184093707449 8.64385618977473 6.2667865406949 8.31741261376487 2.58496250072116 7.84549005094437 7.74146698640115 7.48381577726426 7.59991284218713 7.70043971814109 8.86727873970966 8.77807712953536 9.63299519714296 7.44294349584873 8.83605035505807 8.66533591718518 8.18487534290828 6.8073549220576 8.29462074889163 6.82017896241519 7.04439411935845 9.70908381255034 8.09803208296053 9.87958324961278 9.79279029430106 10.3685064615077 8.80413102118332 8.5352753766208 8.51569983828404 7.4178525148859 6.71424551766612 5 5.83289001416474 6.7279204545632 5.90689059560852 4.75488750216347 7.44294349584873 5.20945336562895 7.84549005094437 8.89178370321831 7.34872815423108 9.67419226814568 9.80574387215162 6.74146698640115 7.23840473932508 10.0279059965699 4.39231742277876 8.00562454919388 5.85798099512757 8.2240016741981 8.5274770060604 8.71080643369935 9.66533591718518 6.28540221886225 9.70390357344466 8.66533591718518 8.08214904135387 7.74819284958946 8.90989308377004 4.39231742277876 9.10852445677817 7.3037807481771 9.56224242422107 8.84549005094438 9.39660478118186 6.10852445677817 7.12928301694497 10.3151495622563 6.08746284125034 10.5323559252888 9.61286849729104 6.04439411935845 10.1823943534045 7.19967234483636 5.83289001416474 10.3128829552844 7.4093909361377 8.16992500144231 10.2714630279044 5.90689059560852 8.33985000288462 4.16992500144231 8.58120058192496 8.93957921431469 7.4262647547021 7.5077946401987 8.24317398347295 7.36632221424582 8.39231742277876 6.18982455888002 5.32192809488736 9.59991284218713 8.41362792902417 6.52356195605701 5.85798099512757 8.0389189892923 8.70390357344466 3.16992500144231 1.58496250072116 6.56985560833095 7.62205181945638 9.41996017784789 5.64385618977472 8.71080643369935 5.4262647547021 5.4594316186373 3.4594316186373 7.43462822763672 7.52356195605701 7.467605550083 3.32192809488736 7.62935662007961 8.52356195605701 4.32192809488736 4.64385618977472 9.0389189892923 5.32192809488736 8.876516946565 7.51569983828404 5.6724253419715 9.59618975614441 7.24792751344359 8.54303182025524 7.81378119121704 6.37503943134692 7.35755200461808 10.1369911120802 9.33985000288462 3 2 5.64385618977472 3.70043971814109 6.12928301694497 6.91886323727459 7.82017896241519 2.58496250072116 7.14974711950468 6.85798099512757 4.85798099512757 4.90689059560852 6.52356195605701 7.59991284218713 5 7.34872815423108 4.4594316186373 7.79441586635011 4.39231742277876 6.5077946401987
"s__minor" 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__mirabilis" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__moniliformis" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__moorei" 0 0 0 0 3.16992500144231 1 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 1 0 0 1 0 0 1 0 0 0 0 0 0 0 0 3.16992500144231 0 0 0 0 0 2.32192809488736 0 0 0 0 0 0 0 0 0 1.58496250072116 1.58496250072116 1 0 0 2.32192809488736 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 1 1 0 0 1 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1.58496250072116 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__mucilaginosa" 4 6.5077946401987 3.70043971814109 5.55458885167764 4.24792751344359 3.4594316186373 2.8073549220576 2 5.49185309632967 3.16992500144231 3.32192809488736 5.32192809488736 5.61470984411521 5.24792751344359 2.8073549220576 4.75488750216347 7.4262647547021 7.07681559705083 6 1 5.04439411935845 5.49185309632967 5 4.95419631038687 8.78135971352466 3.32192809488736 1 4.32192809488736 4.58496250072116 4.32192809488736 6.24792751344359 3.8073549220576 6.3037807481771 5.78135971352466 7.22881869049588 3.32192809488736 4.39231742277876 8.33985000288462 4.08746284125034 4.32192809488736 4.64385618977472 6.56985560833095 5 9.4262647547021 5.39231742277876 5.08746284125034 7.06608919045777 5.52356195605701 5.12928301694497 7.3037807481771 6.24792751344359 7.2667865406949 0 5.08746284125034 3.90689059560852 5.35755200461808 7.89481776330794 4.52356195605701 6.18982455888002 7.86418614465428 6.88264304936184 4.75488750216347 2.58496250072116 3.4594316186373 4.4594316186373 4.90689059560852 4.95419631038687 4.08746284125034 6.89481776330794 2.8073549220576 7.8703647195834 7.57742882803575 1.58496250072116 3.90689059560852 6.68650052718322 5.12928301694497 6.28540221886225 5.90689059560852 3.58496250072116 3.58496250072116 3.4594316186373 7.32192809488736 4.52356195605701 2.8073549220576 9.33539035469392 6.04439411935845 5 4.16992500144231 5.64385618977472 5.24792751344359 4.95419631038687 6.4262647547021 4.39231742277876 6.83289001416474 7.81378119121704 7.02236781302845 7.16992500144231 4.75488750216347 5.16992500144231 7.81378119121704 4.32192809488736 5.61470984411521 8.02236781302845 4.70043971814109 5.08746284125034 5.35755200461808 5.52356195605701 4.58496250072116 4.8073549220576 5.04439411935845 6.4093909361377 6.4262647547021 4 5.12928301694497 5 6.53915881110803 6.8703647195834 6.58496250072116 2.8073549220576 5.6724253419715 5.78135971352466 7.12928301694497 1 0 0 0 0 0 1.58496250072116 0 0 0 1 0 1 0 2.58496250072116 0 0 5.88264304936184 3.90689059560852 2 5.58496250072116 3.32192809488736 0 4.24792751344359 3.32192809488736 1 4.58496250072116 4 5.95419631038687 9.44501484586842 5.97727992349992 3.4594316186373 1 0 4.16992500144231 0 0 0 1 0 1 4.85798099512757 6.75488750216347 2.8073549220576 0 1.58496250072116 0 0 0 3.32192809488736 0
"s__muciniphila" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__multacida" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__multivorum" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__multocida" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__nanceiensis" 6.20945336562895 4 6.4262647547021 4.75488750216347 4.90689059560852 2.32192809488736 3 4.70043971814109 2.32192809488736 4.16992500144231 5.93073733756289 1.58496250072116 2.32192809488736 4.08746284125034 6.44294349584873 4.52356195605701 0 3.32192809488736 4.8073549220576 4.70043971814109 6.4594316186373 8.95419631038687 4.39231742277876 5 4.4594316186373 4.58496250072116 3.8073549220576 6.52356195605701 3.58496250072116 5.95419631038687 5.4594316186373 7.02236781302845 6.4262647547021 5.55458885167764 3 5.88264304936184 3.90689059560852 1.58496250072116 5.90689059560852 3.16992500144231 3 0 5.28540221886225 4.75488750216347 5.24792751344359 7.94251450533924 2 5.4262647547021 3.90689059560852 4 1 6.56985560833095 1 7.20945336562895 3.70043971814109 4.58496250072116 0 4.64385618977472 0 0 0 0 5.75488750216347 3.16992500144231 4.75488750216347 6 7.62935662007961 3.4594316186373 3.8073549220576 4.4594316186373 2 6.3037807481771 7.02236781302845 6.4594316186373 6.4757334309664 3.4594316186373 4.8073549220576 4.58496250072116 5.04439411935845 4.52356195605701 3.58496250072116 3 5.61470984411521 0 4.52356195605701 1 6.06608919045777 3.32192809488736 7.05528243550119 1.58496250072116 5.35755200461808 1 1.58496250072116 4.95419631038687 6.4093909361377 0 6.06608919045777 3.32192809488736 2.58496250072116 3.90689059560852 5.04439411935845 5.7279204545632 6.8073549220576 3.58496250072116 2 4.85798099512757 5.70043971814109 4.08746284125034 2.8073549220576 5.88264304936184 5 7.3037807481771 1.58496250072116 2 5.55458885167764 6.52356195605701 6.4262647547021 2 5.08746284125034 5.4262647547021 3.58496250072116 6 5.39231742277876 4.75488750216347 4.85798099512757 3.70043971814109 3.70043971814109 7.04439411935845 4.58496250072116 2.32192809488736 5.90689059560852 1.58496250072116 2.8073549220576 0 8.07681559705083 1.58496250072116 1.58496250072116 2.32192809488736 5.55458885167764 3.16992500144231 3.58496250072116 3.16992500144231 6.4262647547021 4.90689059560852 2.32192809488736 7.27612440527424 7.97154355395077 1 4.39231742277876 2 2 0 4.52356195605701 6.75488750216347 4.32192809488736 3.16992500144231 0 4.70043971814109 4.08746284125034 0 2.32192809488736 5.04439411935845 5.12928301694497 2.32192809488736 0 0 5.75488750216347 0 0 4.90689059560852 1.58496250072116 5.4594316186373 5.75488750216347
"s__nigrescens" 0 0 1 0 1.58496250072116 0 0 0 0 2 0 2 0 0 0 0 0 0 0 0 0 1.58496250072116 1.58496250072116 0 1 0 1 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.58496250072116 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 2 0 0 0 0 3.8073549220576 0 0 1.58496250072116 0 0 0 0 0 0 0 1.58496250072116 0 0 1.58496250072116 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.32192809488736 0 1.58496250072116 1 0 0 0 0 0 3 0 0 0 0 0 0 1 0 0 0 1.58496250072116 0 2.8073549220576 0 0 0 0 0 0 1
"s__noxia" 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 1 0 0 1.58496250072116 0 0 0 1 0 2.58496250072116 1 1.58496250072116 0 0 0 0 0 0 3.58496250072116 1 1 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 2.58496250072116 2 0 0 1 0 0 0 0 1.58496250072116 2 0 0 1.58496250072116 0 1.58496250072116 0 0 0 2 0 1 1.58496250072116 1 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.58496250072116 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__ochracea" 0 0 1 1 1 1.58496250072116 0 0 0 0 0 1 0 0 1.58496250072116 0 1.58496250072116 0 0 0 0 0 1 0 0 0 1 3 1 0 0 1.58496250072116 0 0 2.32192809488736 1.58496250072116 1 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 2.58496250072116 2 1 0 0 0 0 0 0 1 0 2.32192809488736 0 0 1.58496250072116 0 0 0 0 0 0 1 1 1 0 1 0 0 1.58496250072116 1.58496250072116 1.58496250072116 2 0 1 1.58496250072116 1.58496250072116 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1.58496250072116 0 0 1.58496250072116 0 0 1 2.58496250072116 0 0 0 0 0 0 0 1.58496250072116 0 0 0 2 0 0 0 0 0 0 1 0 0 1 0 0 2 2 0 0 1 1.58496250072116 0 0 2 0 0 0 0 0 1 0 1 0 1 1 0 0 0 2.32192809488736 0 0 0 0 0 1.58496250072116 0 0 0
"s__ovatus" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__pallens" 0 0 0 0 0 2.58496250072116 1 0 0 0 0 0 0 0 2.32192809488736 0 0 0 2 3.58496250072116 2 4.75488750216347 2.32192809488736 1.58496250072116 1 1.58496250072116 2.58496250072116 0 1 0 0 1 0 0 0 1 2.32192809488736 2.32192809488736 1.58496250072116 2 1 1.58496250072116 0 0 0 3 2 1 1.58496250072116 3.58496250072116 0 1.58496250072116 0 0 0 1.58496250072116 0 1 0 0 0 1 0 2.58496250072116 3 3.32192809488736 4.70043971814109 3.4594316186373 0 1 1.58496250072116 0 1.58496250072116 1 0 1.58496250072116 2.32192809488736 1 0 3.16992500144231 1 0 0 2.8073549220576 0 1 0 3.32192809488736 3 3.32192809488736 0 0 1.58496250072116 1 1 0 1 1 0 1 0 0 1 2 0 1 0 1.58496250072116 2 0 0 2.32192809488736 1 0 2.58496250072116 0 2.32192809488736 1.58496250072116 0 0 2.32192809488736 1.58496250072116 0 0 0 1 1 0 0 0 0 0 0 0 2 0 0 0 0 0 2 0 0 0 0 1 0 1 1.58496250072116 0 0 0 1.58496250072116 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 2 0 0
"s__paradoxus" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
